"trending_date","title","channel_title","category_id","publish_time","views","likes","dislikes","comment_count","comments_disabled","ratings_disabled","video_error_or_removed","publish_hour","publish_when","publish_wday","timetotrend"
2022-07-01,"HSMTMTS Season 3 | Official Trailer | Disney+","Disney Plus","People and Blogs",2022-06-29 16:29:27,242664,10405,0,879,FALSE,FALSE,FALSE,16,"3pm to 12am","Wednesday","2"
2022-07-01,"Billionaire Black - O Block Chain (Official Music Video) Shot by @iGObyTC","The Official Billionaire Black","Music",2022-06-28 20:00:10,250421,13751,0,2937,FALSE,FALSE,FALSE,20,"3pm to 12am","Tuesday","2"
2022-07-01,"Obi-Wan Kenobi is a show that exists","Schaffrillas Productions","Entertainment",2022-06-29 16:27:45,278232,21359,0,2278,FALSE,FALSE,FALSE,16,"3pm to 12am","Wednesday","2"
2022-07-01,"Toosii - Letter to Ezrah (Official Audio)","Toosii 2x","Entertainment",2022-06-29 03:26:59,224092,27769,0,1390,FALSE,FALSE,FALSE,3,"12am to 8am","Wednesday","2"
2022-07-01,"AMP NEW HOUSE REVEAL","AMP","Entertainment",2022-06-27 22:03:06,1880587,147313,0,9213,FALSE,FALSE,FALSE,22,"3pm to 12am","Monday","3"
2022-07-01,"PART 2: Can We Win a Volleyball Tournament in Anime Uniforms?","anthpo","Entertainment",2022-06-29 21:30:06,212962,31467,0,1077,FALSE,FALSE,FALSE,21,"3pm to 12am","Wednesday","1"
2022-07-01,"I Gave My Brother His Minecraft Cat in Real Life","Lynix","Gaming",2022-06-28 20:00:10,756828,40246,0,1333,FALSE,FALSE,FALSE,20,"3pm to 12am","Tuesday","2"
2022-07-01,"I Survived On $0.01 For 30 Days - Day 29","Ryan Trahan","Entertainment",2022-06-29 14:00:04,5061856,322143,0,28440,FALSE,FALSE,FALSE,14,"8am to 3pm","Wednesday","2"
2022-07-01,"SOUTH PARK THE STREAMING WARS PART 2 - Teaser","South Park Studios","Comedy",2022-06-29 18:01:32,298404,10377,0,1260,FALSE,FALSE,FALSE,18,"3pm to 12am","Wednesday","2"
2022-07-01,"선미 (SUNMI) - '열이올라요 (Heart Burn)' Music Video","선미 SUNMI","Music",2022-06-29 09:00:11,18588772,181773,0,6664,FALSE,FALSE,FALSE,9,"8am to 3pm","Wednesday","2"
2022-07-01,"True Facts: The Beaver","zefrank1","Pets and Animals",2022-06-28 16:00:27,877267,76912,0,3183,FALSE,FALSE,FALSE,16,"3pm to 12am","Tuesday","3"
2022-07-01,"Lizzo Carpool Karaoke - #LateLateLondon","The Late Late Show with James Corden","Entertainment",2022-06-28 04:45:02,1877732,95536,0,2953,FALSE,FALSE,FALSE,4,"12am to 8am","Tuesday","3"
